time,msd,loopsize,loopsize_smoothed
16.0,0.04145528846153846,18.766317117354987,19.19791529203024
16.400000000000002,0.040692307692307694,20.007108910018992,19.318157663250435
16.6,0.03992932692307692,20.259118285069288,19.396070225785287
16.8,0.03992932692307692,18.989531188240456,19.565605978633055
17.0,0.03992932692307692,21.444103817456416,19.56804590838991
17.2,0.03992932692307692,19.095074990651195,19.716897817548443
17.400000000000002,0.04018365384615385,17.441355291337374,19.743345025244086
17.6,0.04018365384615385,19.43432277866945,19.817995331601118
17.8,0.03128221153846154,21.082879019117232,19.88264510584908
18.0,0.025178365384615386,22.937756400062717,20.04077630621862
18.2,0.025178365384615386,20.449804816143164,20.13670509922574
18.400000000000002,0.025178365384615386,21.01604912595803,20.224203955997783
18.6,0.024415384615384617,21.82012691092822,20.28315343779281
18.8,0.022380769230769232,21.566538521900554,20.279807342633184
19.0,0.02136346153846154,17.199337269879088,20.20713083242957
19.200000000000003,0.021109134615384616,18.838375598438674,20.164464801226075
19.400000000000002,0.02136346153846154,19.071184536566633,20.171517999662573
19.6,0.02060048076923077,21.142192803464262,20.133990096395006
19.8,0.020854807692307693,23.99240194171101,20.043352560172625
20.0,0.01882019230769231,22.29488209137989,20.070094078778517
20.200000000000003,0.01805721153846154,23.557900028501066,20.042067139194447
20.400000000000002,0.017802884615384616,19.55506962511039,20.109198346222733
20.6,0.01882019230769231,20.214126469356348,20.014368314398084
20.8,0.01882019230769231,21.282645727316357,19.97136339360769
21.0,0.01882019230769231,20.994615017979186,19.920379112406646
21.200000000000003,0.015005288461538462,19.61608418503943,19.994909911485884
21.400000000000002,0.01475096153846154,20.49709258997826,20.031439656607116
21.6,0.014496634615384618,19.25238366458211,20.00532036316362
21.8,0.015513942307692308,19.241928101319463,20.030905132999713
22.0,0.016276923076923078,20.065406623378053,20.06192900023424
22.200000000000003,0.016022596153846155,18.399553172854816,20.08297559782316
22.400000000000002,0.01576826923076923,21.405417955255487,20.2025541616365
22.6,0.01576826923076923,18.737029361164314,20.313149811228918
22.8,0.015005288461538462,19.254048347854226,20.343508159360965
